,coordinates,favorite_count,geo,lang,place,source,trump_tweet_id,user_created_at,user_description,user_favourites_count,user_followers_count,user_friends_count,user_lang,user_location,user_name,user_statuses_count
23,,0,,en,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",927847349648609280,Sat Sep 19 21:57:04 +0000 2015,Proud American | Hardware Engineer | HandsOnDad | Strongly believe in GOD | Motoring enthusiast | BUILD THE WALL #MakeAmericaGreatAgain #DrainTheSwamp,88,308,262,en,United States,Spike Master,14252
24,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Fri Aug 28 13:05:15 +0000 2015,Carol City Junior High Senior -employed George T Baker pilot jack of all trades mechanic Aviation I'm proud to be a volunteer for Donald Trump  I'm Slave Of God,139855,3703,5002,en,"Hialeah, FL",Orlando Milian Andre,338617
25,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Sat Feb 27 06:40:17 +0000 2016,,4697,60,11,en,,beachgirljo,6150
26,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Thu Jul 30 09:35:27 +0000 2015,"🇺🇸CNA/Illinois
🇺🇸FactsDon'tCareAboutYourFeelings 🇺🇸ProLife/ProGun
🇺🇸MAGA
🇺🇸NoRefugees
🇺🇸DeportIllegals
🇺🇸AmericaFirst
🇺🇸BuildTheWall",9320,218,211,en,"South Beloit, IL",MissJedahDyah,5558
27,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Sun Sep 24 12:20:15 +0000 2017,Bandichhod satgururampalji maharaja ki jai ho,2888,90,145,en,"कैथल, भारत",Rajesh Dass,3140
28,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Mon Mar 20 13:10:19 +0000 2017,China JiangSu HongZe,4,41,107,zh-cn,China,JiMin,3096
29,,0,,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",927847349648609280,Tue Oct 11 09:45:55 +0000 2016,,31843,434,463,en,,Kaushal Kumar Yadav,27341
30,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927847349648609280,Tue Jul 25 17:04:20 +0000 2017,,118,15,64,en,,Susan Wilder,554
31,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",927847349648609280,Sun Apr 28 19:23:13 +0000 2013,⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀•#girlpower✊🏼✨• ⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ VIII.IV.XVI,59325,683,1242,en,,sierra arnemann🖤,56154
32,,0,,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",927847349648609280,Fri Nov 10 13:17:25 +0000 2017,,77,4,0,en,,Floyd k kendrick,77
