,coordinates,favorite_count,geo,lang,place,source,trump_tweet_id,user_created_at,user_description,user_favourites_count,user_followers_count,user_friends_count,user_lang,user_location,user_name,user_statuses_count
74,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Fri Nov 25 08:54:49 +0000 2011,لا اله الا الله | @Realmadrid @Ittihad,141,442,99,en,,Abdullah.,25574
75,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Fri Jan 06 18:37:36 +0000 2012,"Born-again Christian who loves Jesus, wife of Viet Nam vet w/Agent Orange effects, mother of 4 sons, grandmother of 7. Prolife,pro-Israel,pro-Biblical marriage.",59314,3819,3832,en,Colorado Springs,Nancy Otterby,35240
76,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Thu Jun 29 20:02:54 +0000 2017,#MAGA #CHRISTIAN #Bluelivesmatter #littlelivesmatter. #istandwithIsrael #militarylivesmatter #trumptrain 🚂💨🇺🇸,51710,4010,2399,en,,Carol💕Trump 🚂🇺🇸,48854
77,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",928325667556548608,Sun Feb 21 23:20:28 +0000 2010,I began my blog in the spring of 2011 in support of the Wisconsin uprising.  The 1% don’t like anyone controlling their greed. I want democracy in America.,10931,1863,1567,en,Illinois,Michael Rafa,82685
78,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Thu Aug 27 21:32:11 +0000 2009,I enjoy life... each day is a blessing!,463,31,49,en,,Sally Perez,149
79,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",928325667556548608,Fri Sep 07 21:56:53 +0000 2012,"#FreeMilo Film lover, casual gamer and hard-working student. Also am unashamedly right wing (NOT A TORY!) in a world full of commies.",19453,2142,4990,en,,Edward Howard,37517
80,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Mon Sep 09 20:13:59 +0000 2013,Considered a HAWK in most aspects and a DOVE in others. London Cabbies are Finest in the World. I STAND WITH ISRAEL the ONLY DEMOCRACY in MIDDLE EAST.,60559,5184,3655,en,London,Martin the Cabbie,99804
81,,0,,en,,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",928325667556548608,Mon Apr 02 15:52:22 +0000 2012,#WWE  #WWENetWork  #CatchRaw  #SmackDownAB #NXT  #TakeOver         #MainEvent #205Live  #CatchNightAB #ToughEnough  #WWEUniverse #WWEStudios #WWE2k18,2,2645,245,fr,Lormont,Cédric Le Clech,685019
82,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Wed Sep 07 12:28:49 +0000 2016,,142,21,106,en,"Oak Lawn, IL",Alex Missey,25
83,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Sun Jan 20 17:41:00 +0000 2013,Boston sports freak,13864,2015,3266,en,,Bill Mc C,58315
84,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Mon Jul 18 02:21:46 +0000 2016,,81,7,61,en,,Shadre Muchuwa,233
85,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Wed Nov 18 00:45:49 +0000 2015,"Misplaced NYC girl  libertarian, physics prof, and lover of all things #MAGA.",259,149,199,en,"Virginia, USA",Murphy,370
86,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",928325667556548608,Fri Oct 16 22:28:58 +0000 2015,🌺love the life you live 🌺,270,85,642,en,"North Dakota, USA",Liz,236
87,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",928325667556548608,Thu Oct 12 20:27:43 +0000 2017,I'm a Petroleum Engineer working with the Trans Ocean Oil and Drilling Company.,52,153,458,en,"Atlanta, GA",Eng. Marshall Pedro,133
88,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",928325667556548608,Sat Oct 07 23:24:55 +0000 2017,,1537,41,615,es,,kristhian,255
89,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Thu May 09 13:27:28 +0000 2013,"Southern gal, wife, mom, and grandma. Saved by grace, through faith in the Lord Jesus Christ. 100% Trump supporter! Pray for him daily! #MAGA #AmericaFirst",24433,1991,1885,en,United States,Rose Basco,56304
90,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Sat Oct 03 00:18:43 +0000 2009,,16339,89,55,en,,da ma,5875
91,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",928325667556548608,Tue May 12 14:19:27 +0000 2009,"Nature lover, bicyclist, classical music enthusiast, ultimate frisbee player, software developer, poet, libertarian and blogger.",13012,196,206,en,"Pittsburgh, PA, USA",Douglas Bauman,9494
92,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",928325667556548608,Mon Nov 07 20:27:26 +0000 2016,"I love God,my family, our POTUS his family&team,our military,our first responders,I want to be helpful to MAGA.I believe prayers work &love is better than hate.",4211,217,602,en,USA,Barbara Swart,3394
93,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",928325667556548608,Mon Mar 09 02:07:34 +0000 2009,"Life is an adventure, and people are cool! #God, #Family, #USA, #Military, #Patriot, #Tea Party,#Conservative,#Rock&Roll,#Avid Reader,#History,#Civil War",914,3779,3786,en,"Nashville, TN",J. Susan Billingsley,54012
